48;50;131;0.001;3
33;62;95;0.001;1
72;78;174;0.001;1
75;75;176;0.001;2
28;68;88;0.001;1
79;69;183;0.001;1
32;72;92;0.001;2
83;67;187;0.001;1
34;74;98;0.001;2
36;72;103;0.001;3
89;70;199;0.001;2
33;78;96;0.001;2
32;77;93;0.001;3
87;74;196;0.001;2
91;77;202;0.001;2
28;75;89;0.001;2
5;40;27;0.001;2
85;78;192;0.001;2
79;78;184;0.001;2
2;30;10;0.001;1
4;30;20;0.001;1
4;31;21;0.001;2
12;63;48;0.001;1
3;28;15;0.001;2
15;60;56;0.001;2
3;25;14;0.001;2
4;24;19;0.001;2
4;22;18;0.001;1
11;58;46;0.001;3
6;21;31;0.001;1
19;11;66;0.001;1
92;66;204;0.001;2
9;20;37;0.001;2
18;65;62;0.001;3
7;17;33;0.001;2
13;10;50;0.001;2
20;67;72;0.001;3
18;69;63;0.001;2
14;7;53;0.001;2
98;74;225;0.001;2
10;23;42;0.001;2
21;70;74;0.001;2
15;4;55;0.001;2
97;71;221;0.001;3
19;72;67;0.001;3
13;4;49;0.001;3
13;23;52;0.001;2
10;6;40;0.001;2
16;23;58;0.001;3
16;68;59;0.001;3
10;0;39;0.001;2
11;13;45;0.001;2
18;78;64;0.001;1
6;11;30;0.001;3
10;10;41;0.001;3
98;52;224;0.001;2
22;78;75;0.001;2
96;53;216;0.001;3
13;14;51;0.001;3
5;5;25;0.001;2
95;50;210;0.001;3
3;4;13;0.001;3
0;7;1;0.001;2
92;50;203;0.001;2
2;7;8;0.001;2
11;75;47;0.001;2
89;48;198;0.001;2
0;10;2;0.001;2
87;50;195;0.001;2
2;12;9;0.001;2
5;1;24;0.001;2
6;2;29;0.001;3
85;44;191;0.001;2
87;40;194;0.001;2
6;24;32;0.001;3
88;36;197;0.001;2
30;58;90;0.001;2
85;36;190;0.001;2
1;32;6;0.001;3
35;54;100;0.001;3
5;33;26;0.001;3
93;40;205;0.001;2
95;43;209;0.001;2
97;41;220;0.001;2
7;39;34;0.001;2
5;43;28;0.001;2
44;65;123;0.001;2
43;66;119;0.001;3
0;47;3;0.001;2
2;48;11;0.001;3
85;20;189;0.001;2
7;59;35;0.001;2
85;12;188;0.001;2
1;62;7;0.001;2
3;68;16;0.001;2
38;70;110;0.001;2
77;9;179;0.001;1
3;71;17;0.001;2
74;6;175;0.001;2
40;74;114;0.001;2
0;74;4;0.001;2
76;4;177;0.001;2
2;75;12;0.001;2
42;77;117;0.001;2
0;77;5;0.001;3
45;75;126;0.001;2
45;78;127;0.001;2
7;69;36;0.001;2
82;13;185;0.001;2
36;78;104;0.001;2
4;78;22;0.001;2
4;79;23;0.001;2
79;13;180;0.001;2
86;6;193;0.001;3
97;13;219;0.001;2
54;77;142;0.001;2
96;12;212;0.001;3
10;55;44;0.001;3
58;76;148;0.001;2
96;16;213;0.001;2
56;70;145;0.001;2
96;23;214;0.001;2
98;25;222;0.001;2
96;29;215;0.001;3
64;67;157;0.001;2
95;31;208;0.001;2
98;35;223;0.001;2
69;66;170;0.001;2
50;75;136;0.001;3
97;3;217;0.001;2
96;4;211;0.001;2
50;61;135;0.001;3
97;4;218;0.001;3
39;52;112;0.001;3
36;50;102;0.001;3
39;12;111;0.001;2
43;4;118;0.001;1
36;7;101;0.001;2
35;9;99;0.001;3
26;0;81;0.001;2
24;0;76;0.001;2
20;16;69;0.001;1
20;21;70;0.001;2
20;25;71;0.001;2
17;20;60;0.001;3
25;10;79;0.001;2
25;8;78;0.001;2
20;8;68;0.001;2
14;39;54;0.001;3
48;50;131;0.001;3
50;61;135;0.001;2
39;52;112;0.001;3
36;50;102;0.001;3
33;62;95;0.001;1
79;69;183;0.001;1
28;68;88;0.001;1
83;67;187;0.001;1
32;72;92;0.001;2
34;74;98;0.001;2
89;70;199;0.001;2
32;77;93;0.001;2
33;78;96;0.001;3
87;74;196;0.001;2
91;77;202;0.001;2
28;75;89;0.001;2
85;78;192;0.001;2
79;78;184;0.001;2
39;12;111;0.001;2
75;75;176;0.001;2
2;30;10;0.001;1
35;9;99;0.001;3
4;30;20;0.001;1
12;63;48;0.001;1
72;78;174;0.001;2
36;7;101;0.001;2
4;31;21;0.001;2
5;33;26;0.001;2
7;69;36;0.001;1
43;4;118;0.001;2
3;28;15;0.001;2
3;25;14;0.001;2
4;24;19;0.001;2
0;74;4;0.001;1
64;67;157;0.001;2
4;22;18;0.001;1
2;75;12;0.001;2
6;21;31;0.001;1
0;77;5;0.001;3
69;66;170;0.001;2
9;20;37;0.001;2
7;17;33;0.001;2
3;71;17;0.001;2
3;68;16;0.001;2
26;0;81;0.001;2
24;0;76;0.001;2
2;12;9;0.001;1
1;62;7;0.001;2
0;10;2;0.001;1
0;7;1;0.001;2
2;7;8;0.001;2
7;59;35;0.001;2
3;4;13;0.001;2
92;66;204;0.001;2
10;55;44;0.001;2
5;5;25;0.001;2
11;58;46;0.001;3
5;1;24;0.001;2
6;2;29;0.001;3
15;60;56;0.001;3
98;74;225;0.001;2
20;8;68;0.001;2
18;65;62;0.001;3
97;71;221;0.001;3
20;67;72;0.001;3
6;11;30;0.001;2
18;69;63;0.001;2
21;70;74;0.001;2
25;10;79;0.001;2
11;13;45;0.001;2
19;72;67;0.001;3
25;8;78;0.001;2
13;14;51;0.001;3
16;68;59;0.001;3
13;10;50;0.001;2
14;7;53;0.001;2
20;16;69;0.001;2
13;4;49;0.001;2
96;53;216;0.001;2
17;20;60;0.001;2
98;52;224;0.001;2
10;0;39;0.001;1
20;21;70;0.001;2
95;50;210;0.001;3
18;78;64;0.001;1
20;25;71;0.001;2
15;4;55;0.001;2
22;78;75;0.001;2
92;50;203;0.001;2
10;6;40;0.001;2
89;48;198;0.001;2
87;50;195;0.001;2
10;10;41;0.001;3
11;75;47;0.001;2
85;44;191;0.001;2
14;39;54;0.001;3
87;40;194;0.001;2
19;11;66;0.001;2
4;78;22;0.001;2
4;79;23;0.001;2
88;36;197;0.001;2
85;36;190;0.001;2
13;23;52;0.001;2
93;40;205;0.001;2
10;23;42;0.001;2
95;43;209;0.001;2
97;41;220;0.001;3
6;24;32;0.001;3
1;32;6;0.001;3
30;58;90;0.001;2
7;39;34;0.001;2
35;54;100;0.001;3
44;65;123;0.001;2
43;66;119;0.001;3
98;25;222;0.001;1
96;23;214;0.001;2
16;23;58;0.001;3
96;29;215;0.001;2
95;31;208;0.001;2
98;35;223;0.001;2
38;70;110;0.001;2
40;74;114;0.001;2
96;16;213;0.001;2
42;77;117;0.001;2
97;13;219;0.001;2
96;12;212;0.001;3
45;75;126;0.001;2
45;78;127;0.001;2
97;4;218;0.001;2
97;3;217;0.001;2
96;4;211;0.001;2
36;78;104;0.001;2
36;72;103;0.001;3
77;9;179;0.001;1
79;13;180;0.001;2
85;12;188;0.001;2
54;77;142;0.001;2
82;13;185;0.001;2
58;76;148;0.001;2
56;70;145;0.001;2
76;4;177;0.001;2
74;6;175;0.001;3
50;75;136;0.001;3
86;6;193;0.001;3
85;20;189;0.001;2
2;48;11;0.001;2
0;47;3;0.001;2
5;43;28;0.001;2
5;40;27;0.001;2
48;50;131;0.001;3
50;61;135;0.001;2
39;52;112;0.001;3
36;50;102;0.001;3
33;62;95;0.001;1
79;69;183;0.001;1
28;68;88;0.001;1
83;67;187;0.001;1
32;72;92;0.001;2
34;74;98;0.001;2
89;70;199;0.001;2
32;77;93;0.001;2
33;78;96;0.001;3
87;74;196;0.001;2
91;77;202;0.001;2
28;75;89;0.001;2
85;78;192;0.001;2
79;78;184;0.001;2
39;12;111;0.001;2
75;75;176;0.001;2
2;30;10;0.001;1
35;9;99;0.001;3
4;30;20;0.001;1
12;63;48;0.001;1
72;78;174;0.001;2
36;7;101;0.001;2
4;31;21;0.001;2
5;33;26;0.001;2
7;69;36;0.001;1
43;4;118;0.001;2
3;28;15;0.001;2
3;25;14;0.001;2
4;24;19;0.001;2
0;74;4;0.001;1
64;67;157;0.001;2
4;22;18;0.001;1
2;75;12;0.001;2
6;21;31;0.001;1
0;77;5;0.001;3
69;66;170;0.001;2
9;20;37;0.001;2
7;17;33;0.001;2
3;71;17;0.001;2
3;68;16;0.001;2
26;0;81;0.001;2
24;0;76;0.001;2
2;12;9;0.001;1
1;62;7;0.001;2
0;10;2;0.001;1
0;7;1;0.001;2
2;7;8;0.001;2
7;59;35;0.001;2
3;4;13;0.001;2
92;66;204;0.001;2
10;55;44;0.001;2
5;5;25;0.001;2
11;58;46;0.001;3
5;1;24;0.001;2
6;2;29;0.001;3
15;60;56;0.001;3
98;74;225;0.001;2
20;8;68;0.001;2
18;65;62;0.001;3
97;71;221;0.001;3
20;67;72;0.001;3
6;11;30;0.001;2
18;69;63;0.001;2
21;70;74;0.001;2
25;10;79;0.001;2
11;13;45;0.001;2
19;72;67;0.001;3
25;8;78;0.001;2
13;14;51;0.001;3
16;68;59;0.001;3
13;10;50;0.001;2
14;7;53;0.001;2
20;16;69;0.001;2
13;4;49;0.001;2
96;53;216;0.001;2
17;20;60;0.001;2
98;52;224;0.001;2
10;0;39;0.001;1
20;21;70;0.001;2
95;50;210;0.001;3
18;78;64;0.001;1
20;25;71;0.001;2
15;4;55;0.001;2
22;78;75;0.001;2
92;50;203;0.001;2
10;6;40;0.001;2
89;48;198;0.001;2
87;50;195;0.001;2
10;10;41;0.001;3
11;75;47;0.001;2
85;44;191;0.001;2
14;39;54;0.001;3
87;40;194;0.001;2
19;11;66;0.001;2
4;78;22;0.001;2
4;79;23;0.001;2
88;36;197;0.001;2
85;36;190;0.001;2
13;23;52;0.001;2
93;40;205;0.001;2
10;23;42;0.001;2
95;43;209;0.001;2
97;41;220;0.001;3
6;24;32;0.001;3
1;32;6;0.001;3
30;58;90;0.001;2
7;39;34;0.001;2
35;54;100;0.001;3
44;65;123;0.001;2
43;66;119;0.001;3
98;25;222;0.001;1
96;23;214;0.001;2
16;23;58;0.001;3
96;29;215;0.001;2
95;31;208;0.001;2
98;35;223;0.001;2
38;70;110;0.001;2
40;74;114;0.001;2
96;16;213;0.001;2
42;77;117;0.001;2
97;13;219;0.001;2
96;12;212;0.001;3
45;75;126;0.001;2
45;78;127;0.001;2
97;4;218;0.001;2
97;3;217;0.001;2
96;4;211;0.001;2
36;78;104;0.001;2
36;72;103;0.001;3
77;9;179;0.001;1
79;13;180;0.001;2
85;12;188;0.001;2
54;77;142;0.001;2
82;13;185;0.001;2
58;76;148;0.001;2
56;70;145;0.001;2
76;4;177;0.001;2
74;6;175;0.001;3
50;75;136;0.001;3
86;6;193;0.001;3
85;20;189;0.001;2
2;48;11;0.001;2
0;47;3;0.001;2
5;43;28;0.001;2
